indexes,labels,dist_euclid,dist_cos
0,8,164.07495,0.73891485
1,0,152.14384,0.6869813
2,7,138.37926,0.77699554
3,8,188.23912,0.58074063
4,0,204.84708,0.51273185
5,3,183.82112,0.68361455
6,3,143.90721,0.646024
7,5,145.2665,0.7329669
8,8,175.65237,0.55325705
9,7,117.94784,0.84620625
10,9,153.5614,0.6914656
11,5,135.85725,0.8642721
12,1,188.65607,0.6353058
13,9,195.51688,0.56826043
14,4,160.517,0.69641656
15,4,148.6061,0.91758466
16,4,130.08784,0.8966821
17,3,167.82982,0.64730376
18,8,144.04521,0.772679
19,5,202.2514,0.39288357
20,4,131.21309,0.8303906
21,1,150.79791,0.70458233
22,7,155.14757,0.5636488
23,7,145.29787,0.9085501
24,8,165.95651,0.60796666
25,5,130.10132,0.79752403
26,0,150.0663,0.71110946
27,4,220.93933,0.31068274
28,6,198.04486,0.3541401
29,0,166.38036,0.5547976
30,4,199.9528,0.48103067
31,4,169.05214,0.6635265
32,5,140.81693,0.8315725
33,5,219.9137,0.29573676
34,3,188.29758,0.41672918
35,6,117.74052,0.8650386
36,2,144.91985,0.7063436
37,7,182.90901,0.7651857
38,7,172.75133,0.63828415
39,6,132.46143,0.73584265
40,3,140.80609,0.81872416
41,9,165.63466,0.59776276
42,4,143.83687,0.82549185
43,0,165.35204,0.6027933
44,7,124.27863,0.8067773
45,7,180.30206,0.6463624
46,9,160.79797,0.6140146
47,6,149.90297,0.74430597
48,9,162.4732,0.6578158
49,3,168.27303,0.7481664
50,8,158.60518,0.63154805
51,5,152.27689,0.7540807
52,4,190.34138,0.40791762
53,0,158.72084,0.7464332
54,9,147.82664,0.7162284
55,4,149.9891,0.6898499
56,8,176.51097,0.45047286
57,8,191.05449,0.4258056
58,4,177.83476,0.5889952
59,3,141.84367,0.7887697
60,8,188.48523,0.42598656
61,2,171.8905,0.7440915
62,7,121.796646,0.90947545
63,4,195.19975,0.39910588
64,0,137.50026,0.6565825
65,8,190.6652,0.3907504
66,4,128.33133,0.8231624
67,1,186.74983,0.36206263
68,4,161.89111,0.6784556
69,6,121.33366,0.85486484
70,8,159.42049,0.64860654
71,0,164.25024,0.5432764
72,3,159.69557,0.5097402
73,3,159.95868,0.62855226
74,4,142.2042,0.7718463
75,4,134.3569,0.9181326
76,8,153.15039,0.6267213
77,2,205.98294,0.56209815
78,2,195.59995,0.58049077
79,9,162.89954,0.6239657
80,4,196.91922,0.5095185
81,9,141.10834,0.7001801
82,2,159.86263,0.72183967
83,9,173.53639,0.6601994
84,7,117.91647,0.8393522
85,6,127.07409,0.8591426
86,0,143.94342,0.7005083
87,7,201.03427,0.42826998
88,7,134.82799,0.7568578
89,9,179.83813,0.6176083
90,5,197.70343,0.4613598
91,5,123.82568,0.85315853
92,0,152.94324,0.6960037
93,1,141.30663,0.7620549
94,6,175.96945,0.42939216
95,7,180.88104,0.56573397
96,5,169.97388,0.6519659
97,3,195.23354,0.5267829
98,3,178.73398,0.6419882
99,4,209.07411,0.37712517
100,8,173.31805,0.6190639
101,4,156.94339,0.7903594
102,3,167.74525,0.5969364
103,3,198.19205,0.47474173
104,7,139.52266,0.8033867
105,4,180.46623,0.68344295
106,8,185.24771,0.4631611
107,0,151.17857,0.7411007
108,3,165.96257,0.6672791
109,3,185.43082,0.3951591
110,8,148.1968,0.80983615
111,4,185.29198,0.41759738
112,2,163.90947,0.7592081
113,0,153.26047,0.6153007
114,4,161.19016,0.6867771
115,4,169.09407,0.57161766
116,0,155.41792,0.6841887
117,3,145.52795,0.70660657
118,4,139.77237,0.9094209
119,4,200.44327,0.413442
120,3,156.78381,0.71206015
121,5,191.14055,0.35278696
122,3,166.16931,0.598788
123,4,143.69783,0.73217565
124,5,169.5362,0.58314526
125,7,122.27013,0.87451583
126,3,184.03578,0.5530577
127,2,180.87898,0.54363185
128,0,198.08055,0.50892466
129,4,179.44043,0.5346968
130,0,176.70798,0.578175
131,0,161.50075,0.6540627
132,5,148.21663,0.7614296
133,7,145.80513,0.68285984
134,5,175.72603,0.59605384
135,7,138.00922,0.8097978
136,2,145.44154,0.71864074
137,1,129.4897,0.83354485
138,3,182.82588,0.6606362
139,0,161.04039,0.7535889
140,2,149.81418,0.7844334
141,3,159.53447,0.61786246
142,5,162.0276,0.8900425
143,3,166.52194,0.6575032
144,6,175.04764,0.5236397
145,0,148.93419,0.7106729
146,7,117.33808,0.9004579
147,4,174.33417,0.4679352
148,3,171.87828,0.6148497
149,3,137.0542,0.8400293
150,0,167.97662,0.5658121
151,0,162.9954,0.6768627
152,3,134.96896,0.8501355
153,2,184.8505,0.6375962
154,5,169.9025,0.7041548
155,3,159.80782,0.80658084
156,9,170.3621,0.5975107
157,2,161.22398,0.71419376
158,9,148.66435,0.59285015
159,2,160.40245,0.65657395
160,5,161.05087,0.7840651
161,4,147.89569,0.77018344
162,0,180.7779,0.5790556
163,7,153.79924,0.72536117
164,8,186.75949,0.5943461
165,3,170.07948,0.64423656
166,5,167.93887,0.6813961
167,0,168.51717,0.60517406
168,9,160.74257,0.6626826
169,5,130.58669,0.8446273
170,3,146.71259,0.8183518
171,3,184.1719,0.6253892
172,6,157.05832,0.636259
173,3,146.72063,0.7545121
174,3,152.00768,0.7284148
175,3,176.96289,0.699078
176,6,172.53441,0.62481385
177,7,140.71895,0.7098715
178,0,155.44107,0.70625126
179,7,214.36992,0.38680062
180,2,177.3285,0.61980253
181,3,176.00865,0.72160965
182,4,166.21974,0.63593835
183,7,161.3378,0.6834272
184,6,202.16084,0.41375992
185,2,141.98244,0.73336846
186,6,131.05658,0.8725631
187,7,157.84618,0.5826392
188,0,182.37906,0.528835
189,2,148.8151,0.6853989
190,0,172.68024,0.61530495
